U,X,Y
69.212559,450,200
69.212559,450,250
49.047619,450,300
49.047619,450,350
0,450,400
0,450,450
0,450,500
0,450,550
0,450,600
0,450,650
0,450,700
0,450,750
18.6347,450,800
18.6347,450,850
15.58478,450,900
15.58478,450,950
59.768422,450,1000
59.768422,450,1050
61.924202,450,1100
61.924202,450,1150
71.808282,450,1200
71.808282,450,1250
66.677182,450,1300
66.677182,450,1350
81.243402,450,1400
81.243402,450,1450
72.462552,450,1500
72.462552,450,1550
59.265007,450,1600
59.265007,450,1650
46.825397,450,1700
46.825397,450,1750
46.825397,450,1800
46.825397,450,1850
46.825397,450,1900
46.825397,450,1950
46.825397,450,2000
46.825397,450,2050
46.825397,450,2100
46.825397,450,2150
38.730159,450,2200
38.730159,450,2250
38.730159,450,2300
38.730159,450,2350
38.730159,450,2400
38.730159,450,2450
49.047619,500,0
49.047619,500,50
49.047619,500,100
49.047619,500,150
68.765439,500,200
68.765439,500,250
66.375159,500,300
66.375159,500,350
9.21267,500,400
9.21267,500,450
3.993205,500,500
3.993205,500,550
0,500,600
0,500,650
0,500,700
0,500,750
20.41787,500,800
20.41787,500,850
10.775435,500,900
10.775435,500,950
59.141177,500,1000
59.141177,500,1050
59.793027,500,1100
59.793027,500,1150
65.418862,500,1200
65.418862,500,1250
65.377432,500,1300
65.377432,500,1350
71.008342,500,1400
71.008342,500,1450
83.690562,500,1500
83.690562,500,1550
46.825397,500,1600
46.825397,500,1650
46.825397,500,1700
46.825397,500,1750
49.976136,500,1800
49.976136,500,1850
46.825397,500,1900
46.825397,500,1950
46.825397,500,2000
46.825397,500,2050
46.825397,500,2100
46.825397,500,2150
38.730159,500,2200
38.730159,500,2250
38.730159,500,2300
38.730159,500,2350
38.730159,500,2400
38.730159,500,2450
49.047619,550,0
49.047619,550,50
49.047619,550,100
49.047619,550,150
68.765439,550,200
68.765439,550,250
66.375159,550,300
66.375159,550,350
9.21267,550,400
9.21267,550,450
3.993205,550,500
3.993205,550,550
0,550,600
0,550,650
0,550,700
0,550,750
20.41787,550,800
20.41787,550,850
10.775435,550,900
10.775435,550,950
59.141177,550,1000
59.141177,550,1050
59.793027,550,1100
59.793027,550,1150
65.418862,550,1200
65.418862,550,1250
65.377432,550,1300
65.377432,550,1350
71.008342,550,1400
71.008342,550,1450
83.690562,550,1500
83.690562,550,1550
46.825397,550,1600
46.825397,550,1650
46.825397,550,1700
46.825397,550,1750
49.976136,550,1800
49.976136,550,1850
46.825397,550,1900
46.825397,550,1950
46.825397,550,2000
46.825397,550,2050
46.825397,550,2100
46.825397,550,2150
38.730159,550,2200
38.730159,550,2250
38.730159,550,2300
38.730159,550,2350
38.730159,550,2400
38.730159,550,2450
49.047619,600,0
49.047619,600,50
49.047619,600,100
49.047619,600,150
68.422019,600,200
68.422019,600,250
65.963909,600,300
65.963909,600,350
0,600,400
0,600,450
0,600,500
0,600,550
0,600,600
0,600,650
0,600,700
0,600,750
0,600,800
0,600,850
9.765135,600,900
9.765135,600,950
56.823639,600,1000
56.823639,600,1050
58.313202,600,1100
58.313202,600,1150
60.209757,600,1200
60.209757,600,1250
58.699845,600,1300
58.699845,600,1350
68.029922,600,1400
68.029922,600,1450
77.737822,600,1500
77.737822,600,1550
70.004617,600,1600
70.004617,600,1650
54.359011,600,1700
54.359011,600,1750
51.258555,600,1800
51.258555,600,1850
48.965018,600,1900
48.965018,600,1950
46.825397,600,2000
46.825397,600,2050
49.955195,600,2100
49.955195,600,2150
43.076648,600,2200
43.076648,600,2250
38.730159,600,2300
38.730159,600,2350
38.730159,600,2400
38.730159,600,2450
49.047619,650,0
49.047619,650,50
49.047619,650,100
49.047619,650,150
68.422019,650,200
68.422019,650,250
65.963909,650,300
65.963909,650,350
0,650,400
0,650,450
0,650,500
0,650,550
0,650,600
0,650,650
0,650,700
0,650,750
0,650,800
0,650,850
9.765135,650,900
9.765135,650,950
56.823639,650,1000
56.823639,650,1050
58.313202,650,1100
58.313202,650,1150
60.209757,650,1200
60.209757,650,1250
58.699845,650,1300
58.699845,650,1350
68.029922,650,1400
68.029922,650,1450
77.737822,650,1500
77.737822,650,1550
70.004617,650,1600
70.004617,650,1650
54.359011,650,1700
54.359011,650,1750
51.258555,650,1800
51.258555,650,1850
48.965018,650,1900
48.965018,650,1950
46.825397,650,2000
46.825397,650,2050
49.955195,650,2100
49.955195,650,2150
43.076648,650,2200
43.076648,650,2250
38.730159,650,2300
38.730159,650,2350
38.730159,650,2400
38.730159,650,2450
49.047619,700,0
49.047619,700,50
61.674479,700,100
61.674479,700,150
69.610439,700,200
69.610439,700,250
66.071949,700,300
66.071949,700,350
0,700,400
0,700,450
0,700,500
0,700,550
0,700,600
0,700,650
0,700,700
0,700,750
0,700,800
0,700,850
0,700,900
0,700,950
52.380952,700,1000
52.380952,700,1050
52.380952,700,1100
52.380952,700,1150
52.380952,700,1200
52.380952,700,1250
56.969416,700,1300
56.969416,700,1350
62.1918,700,1400
62.1918,700,1450
64.552305,700,1500
64.552305,700,1550
56.614018,700,1600
56.614018,700,1650
61.67577,700,1700
61.67577,700,1750
53.252572,700,1800
53.252572,700,1850
50.716861,700,1900
50.716861,700,1950
51.348659,700,2000
51.348659,700,2050
51.304791,700,2100
51.304791,700,2150
46.1643,700,2200
46.1643,700,2250
43.063126,700,2300
43.063126,700,2350
42.077675,700,2400
42.077675,700,2450
49.047619,750,0
49.047619,750,50
61.674479,750,100
61.674479,750,150
69.610439,750,200
69.610439,750,250
66.071949,750,300
66.071949,750,350
0,750,400
0,750,450
0,750,500
0,750,550
0,750,600
0,750,650
0,750,700
0,750,750
0,750,800
0,750,850
0,750,900
0,750,950
52.380952,750,1000
52.380952,750,1050
52.380952,750,1100
52.380952,750,1150
52.380952,750,1200
52.380952,750,1250
56.969416,750,1300
56.969416,750,1350
62.1918,750,1400
62.1918,750,1450
64.552305,750,1500
64.552305,750,1550
56.614018,750,1600
56.614018,750,1650
61.67577,750,1700
61.67577,750,1750
53.252572,750,1800
53.252572,750,1850
50.716861,750,1900
